datetimeData,closePrice,highPrice,lowPrice
2015/1/5 8:59,2563,2566,2546
2015/1/5 9:09,2564,2570,2562
2015/1/5 9:19,2562,2564,2561
2015/1/5 9:29,2562,2564,2556
2015/1/5 9:39,2564,2566,2561
2015/1/5 9:49,2562,2564,2557
2015/1/5 9:59,2561,2564,2559
2015/1/5 10:09,2559,2562,2559
2015/1/5 10:34,2563,2563,2559
2015/1/5 10:44,2561,2564,2561
2015/1/5 10:54,2556,2562,2553
2015/1/5 11:04,2557,2561,2553
2015/1/5 11:14,2548,2558,2545
2015/1/5 11:24,2552,2552,2545
2015/1/5 13:34,2550,2553,2549
2015/1/5 13:44,2550,2554,2550
2015/1/5 13:54,2548,2552,2547
2015/1/5 14:04,2553,2555,2545
2015/1/5 14:14,2552,2555,2551
2015/1/5 14:24,2554,2557,2552
2015/1/5 14:34,2560,2563,2553
2015/1/5 14:44,2557,2562,2555
2015/1/5 14:54,2553,2561,2548
2015/1/5 21:02,2559,2559,2553
2015/1/5 21:12,2559,2562,2557
2015/1/5 21:22,2570,2573,2559
2015/1/5 21:32,2566,2571,2564
2015/1/5 21:42,2565,2568,2564
2015/1/5 21:52,2567,2567,2564
2015/1/5 22:02,2568,2568,2565
2015/1/5 22:12,2566,2568,2565
2015/1/5 22:22,2565,2566,2563
2015/1/5 22:32,2566,2566,2564
2015/1/5 22:42,2572,2577,2565
2015/1/5 22:52,2573,2574,2570
2015/1/5 23:02,2575,2579,2571
2015/1/5 23:12,2579,2583,2574
2015/1/5 23:22,2599,2600,2578
2015/1/5 23:32,2595,2604,2587
2015/1/5 23:42,2593,2597,2591
2015/1/5 23:52,2627,2637,2592
2015/1/6 0:02,2628,2647,2625
2015/1/6 0:12,2635,2640,2626
2015/1/6 0:22,2632,2638,2631
2015/1/6 0:32,2625,2635,2625
2015/1/6 0:42,2621,2627,2607
2015/1/6 0:52,2605,2624,2602
2015/1/6 9:01,2614,2619,2595
2015/1/6 9:11,2615,2616,2607
2015/1/6 9:21,2608,2616,2604
2015/1/6 9:31,2608,2609,2603
2015/1/6 9:41,2615,2618,2606
2015/1/6 9:51,2623,2627,2614
2015/1/6 10:01,2615,2626,2613
2015/1/6 10:11,2612,2617,2611
2015/1/6 10:36,2612,2616,2611
2015/1/6 10:46,2614,2615,2609
2015/1/6 10:56,2616,2618,2612
2015/1/6 11:06,2617,2621,2615
2015/1/6 11:16,2616,2618,2613
2015/1/6 11:26,2626,2631,2614
2015/1/6 13:36,2624,2629,2620
2015/1/6 13:46,2630,2636,2623
2015/1/6 13:56,2626,2631,2626
2015/1/6 14:06,2627,2631,2625
2015/1/6 14:16,2629,2632,2626
2015/1/6 14:26,2626,2632,2626
2015/1/6 14:36,2631,2634,2626
2015/1/6 14:46,2620,2632,2617
2015/1/6 14:56,2605,2621,2603
2015/1/6 21:04,2592,2606,2586
2015/1/6 21:14,2588,2595,2585
2015/1/6 21:24,2593,2593,2587
2015/1/6 21:34,2595,2596,2590
2015/1/6 21:44,2593,2595,2592
2015/1/6 21:54,2595,2595,2591
2015/1/6 22:04,2597,2598,2594
2015/1/6 22:14,2595,2597,2595
2015/1/6 22:24,2597,2600,2595
2015/1/6 22:34,2594,2598,2593
2015/1/6 22:44,2593,2594,2591
2015/1/6 22:54,2584,2595,2580
2015/1/6 23:04,2581,2588,2577
2015/1/6 23:14,2578,2583,2577
2015/1/6 23:24,2583,2584,2577
2015/1/6 23:34,2582,2584,2581
2015/1/6 23:44,2582,2583,2581
2015/1/6 23:54,2584,2585,2581
2015/1/7 0:04,2581,2584,2581
