交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160301,IF1603                        ,期货公司,46696,1292,37993,-400,37993,-400
20160301,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160301,IF1603                        ,1,国泰君安    ,3114,-216,国泰君安    ,3463,-48,中信期货    ,3338,-143
20160301,IF1603                        ,2,中信期货    ,2832,268,广发期货    ,2722,-2,华泰期货    ,2777,-177
20160301,IF1603                        ,3,华泰期货    ,2678,-188,中信期货    ,2537,-75,海通期货    ,2618,-27
20160301,IF1603                        ,4,海通期货    ,2550,-554,国投中谷    ,2478,118,国泰君安    ,2309,28
20160301,IF1603                        ,5,兴证期货    ,2300,244,中金期货    ,2423,9,广发期货    ,1883,57
20160301,IF1603                        ,6,银河期货    ,2032,168,海通期货    ,2285,75,南华期货    ,1716,70
20160301,IF1603                        ,7,光大期货    ,1843,-383,银河期货    ,1658,47,招商期货    ,1619,-100
20160301,IF1603                        ,8,广发期货    ,1621,60,永安期货    ,1595,-17,光大期货    ,1588,-161
20160301,IF1603                        ,9,申银万国    ,1380,261,华泰期货    ,1428,-229,兴证期货    ,1508,-127
20160301,IF1603                        ,10,上海东证    ,1339,101,兴证期货    ,1050,-15,上海东证    ,1064,237
20160301,IF1603                        ,11,南华期货    ,1163,247,申银万国    ,862,-55,五矿经易    ,1034,23
20160301,IF1603                        ,12,招商期货    ,1152,46,光大期货    ,796,0,银河期货    ,992,-171
20160301,IF1603                        ,13,永安期货    ,1136,-200,南华期货    ,732,-9,中信建投    ,911,26
20160301,IF1603                        ,14,方正中期    ,999,173,五矿经易    ,656,-42,中金期货    ,888,113
20160301,IF1603                        ,15,国信期货    ,935,306,招商期货    ,625,-2,永安期货    ,834,-121
20160301,IF1603                        ,16,鲁证期货    ,868,90,鲁证期货    ,577,-67,国投中谷    ,827,40
20160301,IF1603                        ,17,中信建投    ,844,63,瑞达期货    ,561,-14,鲁证期货    ,788,51
20160301,IF1603                        ,18,浙商期货    ,813,120,方正中期    ,522,20,长江期货    ,701,30
20160301,IF1603                        ,19,国投中谷    ,806,101,宏源期货    ,520,-77,国金期货    ,658,-5
20160301,IF1603                        ,20,西部期货    ,667,30,西部期货    ,519,-22,国信期货    ,618,-126
