交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160310,IF1603                        ,期货公司,38634,-412,32584,-1257,32584,-1257
20160310,IF1603                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160310,IF1603                        ,1,国泰君安    ,2586,15,国投中谷    ,2711,-10,中信期货    ,2536,-172
20160310,IF1603                        ,2,海通期货    ,2208,74,国泰君安    ,2643,-135,国泰君安    ,2367,-15
20160310,IF1603                        ,3,中信期货    ,2206,-351,广发期货    ,2508,-26,华泰期货    ,2208,40
20160310,IF1603                        ,4,华泰期货    ,2136,160,中信期货    ,2283,-112,海通期货    ,1803,-125
20160310,IF1603                        ,5,光大期货    ,1639,-352,中金期货    ,2270,-108,南华期货    ,1740,-62
20160310,IF1603                        ,6,兴证期货    ,1537,-220,海通期货    ,2112,43,光大期货    ,1532,-66
20160310,IF1603                        ,7,银河期货    ,1534,-109,银河期货    ,1468,-21,兴证期货    ,1402,16
20160310,IF1603                        ,8,广发期货    ,1302,-91,华泰期货    ,1380,-126,广发期货    ,1360,-114
20160310,IF1603                        ,9,上海东证    ,1185,98,永安期货    ,1106,-361,五矿经易    ,966,-7
20160310,IF1603                        ,10,永安期货    ,1167,95,兴证期货    ,962,-17,上海东证    ,959,-184
20160310,IF1603                        ,11,申银万国    ,1037,-113,鲁证期货    ,863,35,方正中期    ,942,-27
20160310,IF1603                        ,12,招商期货    ,838,-183,光大期货    ,654,-25,招商期货    ,938,-77
20160310,IF1603                        ,13,方正中期    ,762,-47,申银万国    ,633,-12,鲁证期货    ,884,2
20160310,IF1603                        ,14,南华期货    ,758,-84,招商期货    ,609,37,银河期货    ,833,-51
20160310,IF1603                        ,15,西部期货    ,732,63,上海东证    ,488,-17,永安期货    ,775,-140
20160310,IF1603                        ,16,中信建投    ,693,66,南华期货    ,473,-58,国投中谷    ,699,-54
20160310,IF1603                        ,17,鲁证期货    ,625,-52,安粮期货    ,435,-20,长江期货    ,685,11
20160310,IF1603                        ,18,五矿经易    ,614,11,瑞达期货    ,403,-93,申银万国    ,677,23
20160310,IF1603                        ,19,国信期货    ,580,-62,方正中期    ,374,-23,中金期货    ,597,-398
20160310,IF1603                        ,20,中金期货    ,550,379,国信期货    ,353,-22,中信建投    ,596,2
