交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160330,IF1604                        ,期货公司,39972,2796,34696,172,34696,172
20160330,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160330,IF1604                        ,1,国泰君安    ,2524,118,国泰君安    ,3530,-34,中信期货    ,3519,158
20160330,IF1604                        ,2,海通期货    ,2375,408,中信期货    ,3140,-83,国泰君安    ,2468,-78
20160330,IF1604                        ,3,中信期货    ,2365,76,海通期货    ,3083,36,南华期货    ,2190,-24
20160330,IF1604                        ,4,华泰期货    ,1951,235,中金期货    ,2461,-12,光大期货    ,2053,-8
20160330,IF1604                        ,5,兴证期货    ,1944,179,国投中谷    ,2097,-6,华泰期货    ,1988,270
20160330,IF1604                        ,6,银河期货    ,1761,107,银河期货    ,1596,-3,广发期货    ,1841,110
20160330,IF1604                        ,7,光大期货    ,1753,239,华泰期货    ,1359,65,海通期货    ,1574,-49
20160330,IF1604                        ,8,广发期货    ,1358,-2,永安期货    ,1092,-164,方正中期    ,1221,71
20160330,IF1604                        ,9,永安期货    ,1324,363,兴证期货    ,965,-32,招商期货    ,1178,60
20160330,IF1604                        ,10,上海东证    ,1078,229,申银万国    ,932,-12,兴证期货    ,1105,16
20160330,IF1604                        ,11,申银万国    ,985,103,广发期货    ,902,-18,银河期货    ,958,-20
20160330,IF1604                        ,12,南华期货    ,925,-20,鲁证期货    ,847,86,五矿经易    ,938,-2
20160330,IF1604                        ,13,方正中期    ,916,177,光大期货    ,711,-23,永安期货    ,833,12
20160330,IF1604                        ,14,鲁证期货    ,901,67,南华期货    ,599,17,鲁证期货    ,785,-55
20160330,IF1604                        ,15,招商期货    ,831,72,招商期货    ,519,33,上海东证    ,780,146
20160330,IF1604                        ,16,中信建投    ,766,27,五矿经易    ,440,-80,中信建投    ,754,-53
20160330,IF1604                        ,17,国信期货    ,729,130,国信期货    ,431,37,国投中谷    ,732,-9
20160330,IF1604                        ,18,五矿经易    ,630,-824,宏源期货    ,415,3,中金期货    ,627,54
20160330,IF1604                        ,19,浙商期货    ,603,60,方正中期    ,408,-15,申银万国    ,531,9
20160330,IF1604                        ,20,西部期货    ,549,44,中大期货    ,405,15,宝城期货    ,519,-7
