交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160405,IF1604                        ,期货公司,39528,-282,35953,961,35953,961
20160405,IF1604                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160405,IF1604                        ,1,国泰君安    ,3087,615,国泰君安    ,3913,350,中信期货    ,3646,367
20160405,IF1604                        ,2,海通期货    ,2575,137,中信期货    ,3032,11,华泰期货    ,2334,44
20160405,IF1604                        ,3,中信期货    ,2430,-184,海通期货    ,2602,-241,光大期货    ,2300,166
20160405,IF1604                        ,4,兴证期货    ,1828,1,中金期货    ,2516,-11,南华期货    ,2240,76
20160405,IF1604                        ,5,华泰期货    ,1806,-48,国投中谷    ,2416,77,国泰君安    ,2073,-221
20160405,IF1604                        ,6,光大期货    ,1661,87,永安期货    ,2153,33,广发期货    ,1706,-78
20160405,IF1604                        ,7,银河期货    ,1572,38,银河期货    ,1610,73,海通期货    ,1697,188
20160405,IF1604                        ,8,永安期货    ,1433,-329,华泰期货    ,1451,126,方正中期    ,1554,249
20160405,IF1604                        ,9,广发期货    ,1216,23,广发期货    ,934,18,兴证期货    ,1272,28
20160405,IF1604                        ,10,南华期货    ,987,-37,兴证期货    ,842,-88,招商期货    ,1238,-6
20160405,IF1604                        ,11,方正中期    ,919,185,申银万国    ,771,14,永安期货    ,1096,244
20160405,IF1604                        ,12,鲁证期货    ,887,185,上海东证    ,743,42,银河期货    ,1066,75
20160405,IF1604                        ,13,招商期货    ,870,-138,宏源期货    ,686,-1,五矿经易    ,882,26
20160405,IF1604                        ,14,国信期货    ,792,114,光大期货    ,669,11,鲁证期货    ,822,-36
20160405,IF1604                        ,15,申银万国    ,792,-355,鲁证期货    ,666,-39,国投中谷    ,761,14
20160405,IF1604                        ,16,上海东证    ,745,-189,南华期货    ,660,37,中信建投    ,737,-4
20160405,IF1604                        ,17,中信建投    ,707,-5,招商期货    ,542,18,上海东证    ,630,-7
20160405,IF1604                        ,18,浙商期货    ,639,15,五矿经易    ,424,21,国信期货    ,618,17
20160405,IF1604                        ,19,五矿经易    ,517,24,方正中期    ,423,10,中金期货    ,608,116
20160405,IF1604                        ,20,西部期货    ,489,26,国信期货    ,405,21,申银万国    ,554,-32
