交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160413,IF1604                        ,期货公司,39088,3420,17754,-6563,17754,-6563
20160413,IF1604                        ,非期货公司,0,0,0,0,0,0
20160413,IF1605                        ,期货公司,22092,10850,17681,7180,17681,7180
20160413,IF1605                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160413,IF1604                        ,1,中信期货    ,2795,194,国泰君安    ,1713,-619,中信期货    ,2073,-345
20160413,IF1604                        ,2,国泰君安    ,2544,169,中信期货    ,1627,-570,国泰君安    ,1278,-347
20160413,IF1604                        ,3,海通期货    ,2517,532,国投中谷    ,1466,-763,华泰期货    ,1125,-363
20160413,IF1604                        ,4,华泰期货    ,2025,203,中金期货    ,1106,-412,南华期货    ,923,-247
20160413,IF1604                        ,5,广发期货    ,1579,221,华泰期货    ,1059,-340,海通期货    ,759,-178
20160413,IF1604                        ,6,银河期货    ,1559,-165,海通期货    ,933,-603,光大期货    ,758,-439
20160413,IF1604                        ,7,兴证期货    ,1468,-183,永安期货    ,877,-274,永安期货    ,676,-62
20160413,IF1604                        ,8,光大期货    ,1402,-70,广发期货    ,594,-135,银河期货    ,675,-168
20160413,IF1604                        ,9,南华期货    ,1239,215,银河期货    ,476,-299,上海东证    ,603,-64
20160413,IF1604                        ,10,国投中谷    ,1203,751,鲁证期货    ,452,-143,方正中期    ,589,-683
20160413,IF1604                        ,11,永安期货    ,1198,72,兴证期货    ,389,-208,兴证期货    ,559,-210
20160413,IF1604                        ,12,方正中期    ,1144,204,南华期货    ,360,-62,广发期货    ,531,-436
20160413,IF1604                        ,13,鲁证期货    ,992,438,上海东证    ,356,-82,招商期货    ,497,-230
20160413,IF1604                        ,14,上海东证    ,936,27,申银万国    ,305,-87,鲁证期货    ,384,-399
20160413,IF1604                        ,15,招商期货    ,919,211,方正中期    ,299,-41,申银万国    ,380,-115
20160413,IF1604                        ,16,五矿经易    ,781,46,光大期货    ,298,-237,中信建投    ,365,-159
20160413,IF1604                        ,17,申银万国    ,708,83,国信期货    ,288,1,国投中谷    ,290,-222
20160413,IF1604                        ,18,中信建投    ,616,51,招商期货    ,281,-179,国金期货    ,281,-110
20160413,IF1604                        ,19,中金期货    ,478,15,五矿经易    ,205,-123,五矿经易    ,276,-212
20160413,IF1604                        ,20,宏源期货    ,473,-203,中信建投    ,189,-103,国信期货    ,268,-124
20160413,IF1605                        ,1,中信期货    ,2083,1136,国泰君安    ,2884,806,中信期货    ,2067,869
20160413,IF1605                        ,2,国泰君安    ,1547,761,中信期货    ,1953,826,方正中期    ,1222,663
20160413,IF1605                        ,3,海通期货    ,1372,829,中金期货    ,1556,373,光大期货    ,1220,479
20160413,IF1605                        ,4,光大期货    ,1254,537,海通期货    ,1042,593,南华期货    ,1149,417
20160413,IF1605                        ,5,永安期货    ,1202,933,华泰期货    ,960,284,华泰期货    ,1100,451
20160413,IF1605                        ,6,华泰期货    ,1085,381,永安期货    ,932,692,海通期货    ,982,341
20160413,IF1605                        ,7,方正中期    ,888,358,银河期货    ,870,139,广发期货    ,796,404
20160413,IF1605                        ,8,南华期货    ,749,255,五矿经易    ,636,315,国泰君安    ,790,375
20160413,IF1605                        ,9,兴证期货    ,698,457,申银万国    ,546,258,银河期货    ,655,257
20160413,IF1605                        ,10,五矿经易    ,662,378,兴证期货    ,395,232,兴证期货    ,564,320
20160413,IF1605                        ,11,银河期货    ,618,44,光大期货    ,393,133,永安期货    ,543,300
20160413,IF1605                        ,12,中金期货    ,589,143,广发期货    ,385,140,中金期货    ,510,176
20160413,IF1605                        ,13,广发期货    ,588,293,上海东证    ,336,137,国投中谷    ,440,218
20160413,IF1605                        ,14,申银万国    ,497,347,南华期货    ,288,126,五矿经易    ,422,175
20160413,IF1605                        ,15,鲁证期货    ,483,294,华鑫期货    ,238,193,平安期货    ,415,162
20160413,IF1605                        ,16,招商期货    ,407,151,招商期货    ,236,105,招商期货    ,404,94
20160413,IF1605                        ,17,上海东证    ,403,140,鲁证期货    ,209,85,鲁证期货    ,288,64
20160413,IF1605                        ,18,国信期货    ,396,228,国信期货    ,200,100,国信期货    ,274,72
20160413,IF1605                        ,19,华鑫期货    ,365,269,方正中期    ,173,95,中信建投    ,268,115
20160413,IF1605                        ,20,中信建投    ,341,180,国投中谷    ,172,27,中钢期货    ,247,105
