交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160415,IF1604                        ,期货公司,15158,-9946,0,-8994,0,-8994
20160415,IF1604                        ,非期货公司,0,0,0,0,0,0
20160415,IF1605                        ,期货公司,30040,3782,29583,5008,29583,5008
20160415,IF1605                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160415,IF1604                        ,1,中信期货    ,1386,-978,国泰君安    ,0,-846,国泰君安    ,0,-370
20160415,IF1604                        ,2,国泰君安    ,954,-1155,南华期货    ,0,-272,南华期货    ,0,-592
20160415,IF1604                        ,3,华泰期货    ,903,-584,永安期货    ,0,-412,永安期货    ,0,-470
20160415,IF1604                        ,4,国投中谷    ,798,79,一德期货    ,0,-23,一德期货    ,0,-9
20160415,IF1604                        ,5,永安期货    ,781,16,鲁证期货    ,0,-307,鲁证期货    ,0,-219
20160415,IF1604                        ,6,南华期货    ,697,200,光大期货    ,0,-147,光大期货    ,0,-271
20160415,IF1604                        ,7,海通期货    ,606,-829,东海期货    ,0,-16,东海期货    ,0,-30
20160415,IF1604                        ,8,广发期货    ,574,-217,浙商期货    ,0,-129,浙商期货    ,0,-141
20160415,IF1604                        ,9,中金期货    ,547,-157,中粮期货    ,0,-49,中粮期货    ,0,-15
20160415,IF1604                        ,10,银河期货    ,518,-445,华泰期货    ,0,-335,华泰期货    ,0,-746
20160415,IF1604                        ,11,招商期货    ,427,-80,五矿经易    ,0,-86,五矿经易    ,0,-54
20160415,IF1604                        ,12,光大期货    ,407,-479,广发期货    ,0,-259,广发期货    ,0,-307
20160415,IF1604                        ,13,方正中期    ,275,-452,信达期货    ,0,-34,信达期货    ,0,-40
20160415,IF1604                        ,14,鲁证期货    ,271,-177,中信期货    ,0,-630,中信期货    ,0,-1000
20160415,IF1604                        ,15,兴证期货    ,270,-419,金瑞期货    ,0,-28,金瑞期货    ,0,-29
20160415,IF1604                        ,16,中信建投    ,266,-77,新世纪     ,0,-7,新世纪     ,0,-12
20160415,IF1604                        ,17,申银万国    ,258,-352,兴证期货    ,0,-120,兴证期货    ,0,-229
20160415,IF1604                        ,18,浙商期货    ,247,-26,建信期货    ,0,-26,建信期货    ,0,-38
20160415,IF1604                        ,19,国信期货    ,245,-124,平安期货    ,0,-67,平安期货    ,0,-18
20160415,IF1604                        ,20,上海东证    ,237,-530,格林大华    ,0,-46,格林大华    ,0,-86
20160415,IF1605                        ,1,中信期货    ,2375,333,国泰君安    ,4221,759,中信期货    ,3300,721
20160415,IF1605                        ,2,国泰君安    ,2340,-10,中信期货    ,3311,466,国泰君安    ,1847,169
20160415,IF1605                        ,3,海通期货    ,1483,309,中金期货    ,2536,385,光大期货    ,1788,185
20160415,IF1605                        ,4,华泰期货    ,1455,-143,华泰期货    ,1703,120,华泰期货    ,1784,329
20160415,IF1605                        ,5,兴证期货    ,1352,261,海通期货    ,1572,157,方正中期    ,1727,60
20160415,IF1605                        ,6,光大期货    ,1306,82,永安期货    ,1400,379,海通期货    ,1457,242
20160415,IF1605                        ,7,广发期货    ,1253,601,银河期货    ,1102,99,南华期货    ,1451,109
20160415,IF1605                        ,8,银河期货    ,1067,151,广发期货    ,854,187,广发期货    ,1304,340
20160415,IF1605                        ,9,永安期货    ,972,-311,申银万国    ,778,106,银河期货    ,1148,244
20160415,IF1605                        ,10,南华期货    ,850,84,国投中谷    ,721,262,兴证期货    ,964,84
20160415,IF1605                        ,11,五矿经易    ,803,437,上海东证    ,690,200,永安期货    ,842,109
20160415,IF1605                        ,12,申银万国    ,677,90,兴证期货    ,666,70,中金期货    ,740,59
20160415,IF1605                        ,13,上海东证    ,675,195,五矿经易    ,629,-100,国投中谷    ,687,87
20160415,IF1605                        ,14,招商期货    ,621,86,鲁证期货    ,611,206,招商期货    ,654,148
20160415,IF1605                        ,15,中信建投    ,589,143,南华期货    ,580,167,五矿经易    ,640,97
20160415,IF1605                        ,16,鲁证期货    ,559,39,光大期货    ,549,61,鲁证期货    ,611,113
20160415,IF1605                        ,17,方正中期    ,543,-243,招商期货    ,518,133,国信期货    ,513,116
20160415,IF1605                        ,18,国信期货    ,541,77,国信期货    ,434,89,中信建投    ,496,91
20160415,IF1605                        ,19,国投中谷    ,513,-8,中信建投    ,327,84,平安期货    ,488,53
20160415,IF1605                        ,20,中金期货    ,512,-270,方正中期    ,323,89,申银万国    ,474,131
