交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160420,IF1605                        ,期货公司,44278,13728,32793,1377,32793,1377
20160420,IF1605                        ,非期货公司,0,0,0,0,0,0
20160420,IF1606                        ,期货公司,4416,2060,10040,319,10040,319
20160420,IF1606                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160420,IF1605                        ,1,中信期货    ,3202,1288,国泰君安    ,4212,-31,中信期货    ,3400,-14
20160420,IF1605                        ,2,海通期货    ,2966,1071,中信期货    ,3221,-22,国泰君安    ,2190,174
20160420,IF1605                        ,3,国泰君安    ,2877,912,中金期货    ,2643,31,华泰期货    ,2095,168
20160420,IF1605                        ,4,华泰期货    ,2326,878,华泰期货    ,1962,196,方正中期    ,1788,-11
20160420,IF1605                        ,5,光大期货    ,1913,676,海通期货    ,1945,223,海通期货    ,1706,-19
20160420,IF1605                        ,6,兴证期货    ,1866,283,永安期货    ,1545,125,光大期货    ,1673,-78
20160420,IF1605                        ,7,银河期货    ,1696,430,国投中谷    ,1396,189,南华期货    ,1439,-114
20160420,IF1605                        ,8,广发期货    ,1323,187,银河期货    ,1332,84,广发期货    ,1388,30
20160420,IF1605                        ,9,永安期货    ,1316,644,广发期货    ,869,19,银河期货    ,1133,32
20160420,IF1605                        ,10,南华期货    ,1238,453,兴证期货    ,862,89,兴证期货    ,1014,73
20160420,IF1605                        ,11,申银万国    ,1106,344,光大期货    ,850,215,永安期货    ,795,-59
20160420,IF1605                        ,12,招商期货    ,990,375,鲁证期货    ,824,10,中金期货    ,750,-79
20160420,IF1605                        ,13,鲁证期货    ,901,108,上海东证    ,803,66,鲁证期货    ,727,-19
20160420,IF1605                        ,14,中信建投    ,848,250,申银万国    ,763,28,国投中谷    ,713,1
20160420,IF1605                        ,15,上海东证    ,844,133,五矿经易    ,714,51,招商期货    ,710,23
20160420,IF1605                        ,16,国信期货    ,778,330,南华期货    ,613,56,国信期货    ,707,135
20160420,IF1605                        ,17,方正中期    ,767,201,招商期货    ,444,-89,中信建投    ,666,111
20160420,IF1605                        ,18,五矿经易    ,716,151,方正中期    ,369,12,五矿经易    ,595,51
20160420,IF1605                        ,19,浙商期货    ,655,152,中信建投    ,355,3,平安期货    ,576,81
20160420,IF1605                        ,20,国投中谷    ,582,110,中大期货    ,343,40,上海东证    ,529,110
20160420,IF1606                        ,1,海通期货    ,429,165,国泰君安    ,1240,29,招商期货    ,1582,-69
20160420,IF1606                        ,2,华泰期货    ,319,164,永安期货    ,1020,19,中信期货    ,1042,25
20160420,IF1606                        ,3,光大期货    ,292,59,中信期货    ,744,-1,华泰期货    ,864,146
20160420,IF1606                        ,4,国泰君安    ,221,152,华泰期货    ,703,19,光大期货    ,584,-5
20160420,IF1606                        ,5,招商期货    ,216,133,兴证期货    ,620,47,永安期货    ,462,-2
20160420,IF1606                        ,6,中信期货    ,208,80,广发期货    ,461,-6,南华期货    ,413,29
20160420,IF1606                        ,7,华西期货    ,175,151,宏源期货    ,433,-42,长江期货    ,379,-4
20160420,IF1606                        ,8,南华期货    ,162,63,海通期货    ,396,83,兴业期货    ,345,1
20160420,IF1606                        ,9,兴证期货    ,138,66,瑞达期货    ,318,-17,海通期货    ,338,44
20160420,IF1606                        ,10,方正中期    ,138,47,福能期货    ,267,-1,上海东证    ,336,0
20160420,IF1606                        ,11,渤海期货    ,133,76,南华期货    ,231,35,广发期货    ,318,3
20160420,IF1606                        ,12,永安期货    ,115,66,国投中谷    ,229,-3,中信建投    ,295,-14
20160420,IF1606                        ,13,宏源期货    ,115,95,招商期货    ,229,-5,格林大华    ,293,15
20160420,IF1606                        ,14,银河期货    ,103,29,光大期货    ,211,-3,鲁证期货    ,269,3
20160420,IF1606                        ,15,上海东证    ,98,31,申银万国    ,193,15,兴证期货    ,261,-5
20160420,IF1606                        ,16,中信建投    ,96,50,冠通期货    ,192,10,五矿经易    ,176,-15
20160420,IF1606                        ,17,五矿经易    ,91,17,中金期货    ,188,29,银河期货    ,161,4
20160420,IF1606                        ,18,国信期货    ,61,9,银河期货    ,161,5,国信期货    ,161,2
20160420,IF1606                        ,19,广发期货    ,59,34,鲁证期货    ,153,-5,国泰君安    ,122,-104
20160420,IF1606                        ,20,申银万国    ,59,23,中原期货    ,152,0,方正中期    ,103,13
