交易日,合约,会员类别,总成交量,比上交易日增减,总持买单量,比上交易日增减,总持卖单量,比上一交易日增减
20160421,IF1605                        ,期货公司,37758,-6520,32816,23,32816,23
20160421,IF1605                        ,非期货公司,0,0,0,0,0,0
20160421,IF1606                        ,期货公司,4002,-414,10036,-4,10036,-4
20160421,IF1606                        ,非期货公司,0,0,0,0,0,0

交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20160421,IF1605                        ,1,国泰君安    ,2738,-139,国泰君安    ,3857,-355,中信期货    ,3475,75
20160421,IF1605                        ,2,中信期货    ,2423,-779,中信期货    ,3345,124,国泰君安    ,2217,27
20160421,IF1605                        ,3,海通期货    ,2369,-597,中金期货    ,2677,34,华泰期货    ,2163,68
20160421,IF1605                        ,4,华泰期货    ,1725,-601,海通期货    ,2091,146,方正中期    ,1837,49
20160421,IF1605                        ,5,兴证期货    ,1653,-213,华泰期货    ,2009,47,光大期货    ,1736,63
20160421,IF1605                        ,6,光大期货    ,1544,-369,永安期货    ,1583,38,海通期货    ,1715,9
20160421,IF1605                        ,7,银河期货    ,1526,-170,国投中谷    ,1395,-1,南华期货    ,1415,-24
20160421,IF1605                        ,8,广发期货    ,1233,-90,银河期货    ,1345,13,广发期货    ,1368,-20
20160421,IF1605                        ,9,申银万国    ,960,-146,光大期货    ,895,45,银河期货    ,1108,-25
20160421,IF1605                        ,10,永安期货    ,913,-403,鲁证期货    ,879,55,中金期货    ,933,183
20160421,IF1605                        ,11,南华期货    ,899,-339,广发期货    ,874,5,兴证期货    ,910,-104
20160421,IF1605                        ,12,上海东证    ,813,-31,兴证期货    ,873,11,国投中谷    ,743,30
20160421,IF1605                        ,13,鲁证期货    ,803,-98,上海东证    ,808,5,永安期货    ,708,-87
20160421,IF1605                        ,14,招商期货    ,779,-211,申银万国    ,746,-17,招商期货    ,698,-12
20160421,IF1605                        ,15,五矿经易    ,712,-4,南华期货    ,658,45,鲁证期货    ,683,-44
20160421,IF1605                        ,16,方正中期    ,712,-55,五矿经易    ,651,-63,中信建投    ,676,10
20160421,IF1605                        ,17,国信期货    ,711,-67,招商期货    ,453,9,国信期货    ,671,-36
20160421,IF1605                        ,18,中信建投    ,690,-158,方正中期    ,368,-1,平安期货    ,601,25
20160421,IF1605                        ,19,浙商期货    ,686,31,中大期货    ,346,3,五矿经易    ,572,-23
20160421,IF1605                        ,20,华鑫期货    ,564,136,中信建投    ,321,-34,申银万国    ,543,91
20160421,IF1606                        ,1,海通期货    ,409,-20,国泰君安    ,1442,202,招商期货    ,1612,30
20160421,IF1606                        ,2,华泰期货    ,334,15,永安期货    ,993,-27,中信期货    ,1072,30
20160421,IF1606                        ,3,国泰君安    ,314,93,中信期货    ,731,-13,华泰期货    ,780,-84
20160421,IF1606                        ,4,光大期货    ,243,-49,华泰期货    ,675,-28,光大期货    ,583,-1
20160421,IF1606                        ,5,中信期货    ,217,9,兴证期货    ,638,18,永安期货    ,463,1
20160421,IF1606                        ,6,南华期货    ,159,-3,广发期货    ,465,4,南华期货    ,405,-8
20160421,IF1606                        ,7,渤海期货    ,135,2,宏源期货    ,428,-5,长江期货    ,380,1
20160421,IF1606                        ,8,方正中期    ,122,-16,海通期货    ,364,-32,兴业期货    ,358,13
20160421,IF1606                        ,9,招商期货    ,103,-113,瑞达期货    ,309,-9,上海东证    ,344,8
20160421,IF1606                        ,10,华西期货    ,102,-73,福能期货    ,266,-1,海通期货    ,327,-11
20160421,IF1606                        ,11,格林大华    ,99,47,南华期货    ,248,17,广发期货    ,323,5
20160421,IF1606                        ,12,中信建投    ,97,1,光大期货    ,207,-4,鲁证期货    ,270,1
20160421,IF1606                        ,13,宏源期货    ,97,-18,国投中谷    ,205,-24,兴证期货    ,268,7
20160421,IF1606                        ,14,浙商期货    ,96,47,招商期货    ,204,-25,中信建投    ,260,-35
20160421,IF1606                        ,15,兴证期货    ,93,-45,中金期货    ,198,10,格林大华    ,221,-72
20160421,IF1606                        ,16,银河期货    ,92,-11,冠通期货    ,192,0,银河期货    ,198,37
20160421,IF1606                        ,17,上海东证    ,70,-28,申银万国    ,179,-14,国信期货    ,179,18
20160421,IF1606                        ,18,五矿经易    ,69,-22,银河期货    ,152,-9,五矿经易    ,174,-2
20160421,IF1606                        ,19,永安期货    ,56,-59,中原期货    ,152,0,国泰君安    ,150,28
20160421,IF1606                        ,20,铜冠金源    ,55,-4,鲁证期货    ,150,-3,方正中期    ,104,1
